name;location;description
RİDO CAMP GEYİKBAYIRI ANTALYA;36.8908705, 30.786893100000004;
JoSiTo GEYİKBAYIRI ANTALYA;36.873571399999996, 30.4829678;
GARGARA DOĞAL TATİL KAMPI ASSOS ÇANAKKALE;39.532503000000005, 26.5242093;
ALADAĞLAR CAMPING BUNGALOW NİĞDE;37.8242732, 35.049325;
KERPE – KEFKEN – KUMCAĞIZ KOCAELİ;41.155695, 30.1974973;
ALTIN KAMP BURHANİYE BALIKESİR;39.510472, 26.934896000000002;
KELEBEKLER VADİSİ FETHİYE;36.4967781, 29.1263943;
YENİCE ORMANLARI KARABÜK;41.085243299999995, 32.426052;
TORKUL GÖLÜ DÜZCE;40.6793834, 30.550041200000003;
KABATEPE KUMTEPE MEVKİ ÇANAKKALE;40.2007441, 26.2704903;
KAPIDAĞ YARIMADASI ERDEK BALIKESİR;40.388391600000006, 27.8503962;
GÖKÇETEPE KEŞAN EDİRNE;40.6381259, 26.6088402;
DEDEGÖL DAĞI ISPARTA;37.656470399999996, 31.2220099;
GİTO YAYLASI ÇAMLIHEMŞİN RİZE;40.9553654, 41.044824;
AKDENİZ CAMPİNG (CEMİLİN YERİ) KÖYCEĞİZ GÖLÜ SULTANİYE KÖYÜ MUĞLA;36.886078999999995, 28.5858753;
HIZIR KAMP KAZDAĞLARI ÇANAKKALE BALIKESİR;39.633192, 26.960449;
SUGAR BEACH ÖLÜDENİZ MUĞLA;36.552794899999995, 29.112999199999997;
AKYAKA ORMAN KAMPI AKYAKA MUĞLA;37.051626299999995, 28.318524;
YEDİGÖLLER BOLU;40.9430223, 31.744394300000003;
ÇUBUCAK ORMAN KAMPI MARMARİS MUĞLA;36.8021763, 28.096971000000003;
İNBÜKÜ ORMAN KAMPI MARMARİS MUĞLA;36.8053324, 28.1133221;
DALYAN CAMPING DALYAN MUĞLA;36.8280016, 28.633299400000002;
AKBÜK CAMPING AKBÜK MUĞLA;37.0332718, 28.0968251;
AZMAKBAŞI CAMPING AKBÜK MUĞLA;37.0329883, 28.093701;
ADA CAMPING CUNDA ADASI AYVALIK;39.332609999999995, 26.621933000000002;
KABAK KOYU FETHİYE MUĞLA;36.56041079999999, 28.9821488;
BALIK GÖLÜ ŞAVŞAT ARTVİN;41.3784307, 42.49151;
BORÇKA KARAGÖL ARTVİN;41.3848052, 41.846094799999996;
ŞAVŞAT KARAGÖL ARTVİN;41.301509700000004, 42.4695088201;
Seferoğulları Kamping;41.1378819,29.8325693;
Hacilli Selalesi Kamp Alani;41.0386165,29.7710093;
Sahil Kamp İstanbul;41.210299,29.3985048;
Agva Green Park;41.1421963,29.8208513;
Ağva Kilimli Koyu Kamp;41.14206,29.8670103;
Polonezköy Kamp Alanı;41.121017,29.2241033;
Kumköy Kilyos Kamp Alanı;41.2443752,29.0174315;
Semizkum Mocamp;41.072882,28.1609968;
Riva Elmas Burnu Plajı Kamp Alanı;41.228835,29.220737;
Kaptanın Mezarı Kamp Alanı;41.2276708,29.239238;
Belgrad Ormanı Kamp Alanı;41.1837149,28.9888644;
Ömerli Barajı Kamp Alanı;41.0510126,29.3717623;
Esenceli Köyü Kamp Alanı;41.054398,29.3902103;
Darlık Barajı Kamp Alanı;41.1017132,29.5602117;
Woody Ville Kamp Alanı;41.1551889,29.731532;
Çilingöz Ormanı Tabiat Parkı Kamp Alanı;41.524582,28.219216;
Marmaracık Koyu Tabiat Parkı Kamp Alanı;41.2446176,29.0901184;
Fava Camp Çekmeköy;41.0614936,29.2497408;
Burgazada Madam Martha Koyu;40.884767,29.056889;
Danamandıra Tabiat Parkı Kamp Alanı;41.3031328,28.2211702;
