A;X;B;YF
EUR;TLEUR;TL;EURTRY=X
USD;TLUSD;TL;TRYUSD=X
ALT;TLALT;TL;
GBP;TLGBP;TL;GBPTRY=X
EUR;USDEUR;USD;USDEUR=X
GBP;USDGBP;USD;USDGBP=X
USD;JPYUSD;JPY;JPYUSD=X
ALT;USDALT;USD;
EUR;GBPEUR;GBP;GBPEUR=X
CHF;TLCHF;TL;TRYCHF=X
USD;CHFUSD;CHF;CHFUSD=X
EUR;CHFEUR;CHF;CHFEUR=X
AUD;TLAUD;TL;
CAD;TLCAD;TL;
CNY;TLCNY;TL;
DKK;TLDKK;TL;TRYDKK=X
JPY;TLJPY;TL;TRYJPY=X
NOK;TLNOK;TL;
RON;TLRON;TL;
SAR;TLSAR;TL;
SEK;TLSEK;TL;
USD;CADUSD;CAD;CADUSD=X
USD;DKKUSD;DKK;DKKUSD=X
USD;NOKUSD;NOK;NOKUSD=X
USD;SEKUSD;SEK;SEKUSD=X
EUR;JPYEUR;JPY;JPYEUR=X
AUD;USDAUD;USD;USDAUD=X
